Time,Position_Nominal,Velocity_Nominal,Position_Without_Admittance,Velocity_Without_Admittance,Position_With_Admittance,Velocity_With_Admittance,Control_Without_Admittance,Control_With_Admittance,Forces_Applied,Position_VariableForce,Velocity_VariableForce,Control_VariableForce,Variable_Force
0,  1.1     0 0.066     0     0     0 -0.35  -0.5     0     2  -0.4  -1.4     0,0 0 0 0 0 0 0 0 0 0 0 0 0,  1.1     0 0.066     0     0     0 -0.35  -0.5     0     2  -0.4  -1.4     0,0 0 0 0 0 0 0 0 0 0 0 0 0,  1.1     0 0.066     0     0     0 -0.35  -0.5     0     2  -0.4  -1.4     0,0 0 0 0 0 0 0 0 0 0 0 0 0,  2.00453  0.320328   11.4383  -11.7347   1.76228 0.0951634 -0.036315         0         0         0         0,  2.00453  0.320328   11.4383  -11.7347   1.76228 0.0951634 -0.036315         0         0         0         0,0 0 0 0 0 0 0 0 0 0 0 0 0,  1.1     0 0.066     0     0     0 -0.35  -0.5     0     2  -0.4  -1.4     0,0 0 0 0 0 0 0 0 0 0 0 0 0,  2.00453  0.320328   11.4383  -11.7347   1.76228 0.0951634 -0.036315         0         0         0         0,0
1,        1.1 9.22991e-20   0.0643103           0           0           0   -0.359095   -0.504952    0.046563     1.95079   -0.482044    -1.29313    -0.14493, -9.1882e-21  1.58335e-19    0.0137579 -1.08828e-17  1.63621e-18  -2.1182e-21    -0.333591      -0.1792      1.70319      -1.8011     -3.04568       3.9534     -5.14024,        1.1 9.22991e-20   0.0643103           0           0           0   -0.359095   -0.504952    0.046563     1.95079   -0.482044    -1.29313    -0.14493, -9.1882e-21  1.58335e-19    0.0137579 -1.08828e-17  1.63621e-18  -2.1182e-21    -0.333591      -0.1792      1.70319      -1.8011     -3.04568       3.9534     -5.14024,        1.1 9.22991e-20   0.0643103           0           0           0   -0.359095   -0.504952    0.046563     1.95079   -0.482044    -1.29313    -0.14493, -9.1882e-21  1.58335e-19    0.0137579 -1.08828e-17  1.63621e-18  -2.1182e-21    -0.333591      -0.1792      1.70319      -1.8011     -3.04568       3.9534     -5.14024,  6.35468  -4.03174   7.63833  -13.4171   5.07197  0.233669 0.0419346         0         0         0         0,  6.35468  -4.03174   7.63833  -13.4171   5.07197  0.233669 0.0419346         0         0         0         0,0 0 0 0 0 0 0 0 0 0 0 0 0,        1.1 9.22991e-20   0.0643103           0           0           0   -0.359095   -0.504952    0.046563     1.95079   -0.482044    -1.29313    -0.14493, -9.1882e-21  1.58335e-19    0.0137579 -1.08828e-17  1.63621e-18  -2.1182e-21    -0.333591      -0.1792      1.70319      -1.8011     -3.04568       3.9534     -5.14024,  6.35468  -4.03174   7.63833  -13.4171   5.07197  0.233669 0.0419346         0         0         0         0,0.627905
2,        1.1 1.14091e-19   0.0646774           0           0           0   -0.370527   -0.512284     0.14159     1.85485   -0.426803   -0.955273   -0.400706,-4.68098e-20   1.2225e-19   0.00343463  1.12458e-18  5.72822e-19  1.11636e-19    -0.141957    -0.111284      2.05047     -2.02003      4.65482      9.43771     -5.50371,        1.1 1.14091e-19   0.0646774           0           0           0   -0.370527   -0.512284     0.14159     1.85485   -0.426803   -0.955273   -0.400706,-4.68098e-20   1.2225e-19   0.00343463  1.12458e-18  5.72822e-19  1.11636e-19    -0.141957    -0.111284      2.05047     -2.02003      4.65482      9.43771     -5.50371,        1.1 1.14091e-19   0.0646774           0           0           0   -0.370527   -0.512284     0.14159     1.85485   -0.426803   -0.955273   -0.400706,-4.68098e-20   1.2225e-19   0.00343463  1.12458e-18  5.72822e-19  1.11636e-19    -0.141957    -0.111284      2.05047     -2.02003      4.65482      9.43771     -5.50371,  3.0432 0.517642 0.488653   2.0521  1.57439 -0.40378 0.122715        0        0        0        0,  3.0432 0.517642 0.488653   2.0521  1.57439 -0.40378 0.122715        0        0        0        0,0 0 0 0 0 0 0 0 0 0 0 0 0,       1.1 1.1772e-19   0.064682          0          0          0  -0.370527  -0.512284    0.14159    1.85485  -0.426803  -0.955273  -0.400706, 5.03676e-20   3.5324e-19    0.0035036 -1.66032e-18  1.54068e-19   8.1176e-20    -0.141957    -0.111284      2.05047     -2.02003      4.65482      9.43771     -5.50371,  3.0432 0.517642 0.488653   2.0521  1.57439 -0.40378 0.122715        0        0        0        0,1.25333
3,    1.10365  -0.0014981   0.0665437 -0.00105523 0.000137284  0.00240311   -0.378525   -0.528018    0.236693     1.83383   -0.104892   -0.912571   0.0128723, 0.730374 -0.299619   0.35762 -0.211078 0.0272032  0.480635 -0.115201 -0.309726   1.88037  0.489477   9.25384  -1.19226   11.8569,    1.10365  -0.0014981   0.0665437 -0.00105523 0.000137284  0.00240311   -0.378525   -0.528018    0.236693     1.83383   -0.104892   -0.912571   0.0128723, 0.730374 -0.299619   0.35762 -0.211078 0.0272032  0.480635 -0.115201 -0.309726   1.88037  0.489477   9.25384  -1.19226   11.8569,    1.10365  -0.0014981   0.0665437 -0.00105523 0.000137284  0.00240311   -0.378525   -0.528018    0.236693     1.83383   -0.104892   -0.912571   0.0128723, 0.730374 -0.299619   0.35762 -0.211078 0.0272032  0.480635 -0.115201 -0.309726   1.88037  0.489477   9.25384  -1.19226   11.8569, -0.540945   0.763617   -4.48453    8.72448   -4.05748  -0.352726 -0.0707846          0          0          0          0, -0.540945   0.763617   -4.48453    8.72448   -4.05748  -0.352726 -0.0707846          0          0          0          0,0 0 0 0 0 0 0 0 0 0 0 0 0,    1.10367 -0.00148747   0.0665648 -0.00113545 0.000132056  0.00256156   -0.378525   -0.528017    0.236695     1.83383   -0.104838   -0.912605   0.0129956, 0.733237 -0.297494  0.359625 -0.227124 0.0261204  0.512327 -0.115121 -0.309475    1.8807  0.489447   9.26446  -1.19901   11.8816, -0.540945   0.763617   -4.48453    8.72448   -4.05748  -0.352726 -0.0707846          0          0          0          0,1.87381
4,     1.15554   -0.0201585    0.0781654   -0.0306409    0.0693112 -0.000257892    -0.383948    -0.542933     0.305991      1.83911    0.0793504     -1.11491     0.493734,  1.04196 -0.374178 0.0922872  -2.19795  0.852091 -0.460132 -0.098029 -0.270761  0.923847  -0.23078 -0.741458  -6.31612    8.0454,     1.15554   -0.0201585    0.0781654   -0.0306409    0.0693112 -0.000257892    -0.383948    -0.542933     0.305991      1.83911    0.0793504     -1.11491     0.493734,  1.04196 -0.374178 0.0922872  -2.19795  0.852091 -0.460132 -0.098029 -0.270761  0.923847  -0.23078 -0.741458  -6.31612    8.0454,     1.15554   -0.0201585    0.0781654   -0.0306409    0.0693112 -0.000257892    -0.383948    -0.542933     0.305991      1.83911    0.0793504     -1.11491     0.493734,  1.04196 -0.374178 0.0922872  -2.19795  0.852091 -0.460132 -0.098029 -0.270761  0.923847  -0.23078 -0.741458  -6.31612    8.0454, -0.497815   0.938808   -3.38628    1.62139 -0.0407013   0.243742 0.00800072          0          0          0          0, -0.497815   0.938808   -3.38628    1.62139 -0.0407013   0.243742 0.00800072          0          0          0          0,0 0 0 0 0 0 0 0 0 0 0 0 0,   1.15632 -0.0205025   0.088513  0.0690925  0.0897021  0.0343532  -0.383963  -0.542931   0.306218    1.83906  0.0796114   -1.12127   0.502103,    1.0647  -0.382198   0.493494    1.45279    1.93612   0.517316 -0.0984024  -0.270616     0.9299  -0.232605  -0.726775   -6.47072    8.27487, -0.497815   0.938808   -3.38628    1.62139 -0.0407013   0.243742 0.00800072          0          0          0          0,2.4869
5,    1.20554  -0.0388674   0.0734891   -0.017379   0.0487575 -0.00583238   -0.383321   -0.555118    0.334464     1.82618   0.0422261    -1.39342    0.921626, 0.960403 -0.374178 -0.235098   2.62887  -1.61805  0.183918  0.103704 -0.222927  0.276538 -0.276455 -0.739684  -4.96553   9.09205,    1.20554  -0.0388674   0.0734891   -0.017379   0.0487575 -0.00583238   -0.383321   -0.555118    0.334464     1.82618   0.0422261    -1.39342    0.921626, 0.960403 -0.374178 -0.235098   2.62887  -1.61805  0.183918  0.103704 -0.222927  0.276538 -0.276455 -0.739684  -4.96553   9.09205,    1.20554  -0.0388674   0.0734891   -0.017379   0.0487575 -0.00583238   -0.383321   -0.555118    0.334464     1.82618   0.0422261    -1.39342    0.921626, 0.960403 -0.374178 -0.235098   2.62887  -1.61805  0.183918  0.103704 -0.222927  0.276538 -0.276455 -0.739684  -4.96553   9.09205, -0.487791   0.940541  -0.463002   0.461894 -0.0408896  0.0433804 0.00512881          0          0          0          0, -0.487791   0.940541  -0.463002   0.461894 -0.0408896  0.0433804 0.00512881          0          0          0          0,0 0 0 0 0 0 0 0 0 0 0 0 0,   1.20956 -0.0396124    0.12176   0.145697   0.184284  0.0685253  -0.383352   -0.55511   0.334965    1.82603  0.0430968   -1.40747   0.942076,   1.0647 -0.382198   0.80522   1.42684   1.96613  0.431986  0.103458 -0.222869  0.281466 -0.278552 -0.729693  -5.11792   9.34655, -0.487791   0.940541  -0.463002   0.461894 -0.0408896  0.0433804 0.00512881          0          0          0          0,3.09017
6,   1.24506 -0.0575763  0.0652305 0.00365682 0.00384841 -0.0101704  -0.377933  -0.565413   0.346522    1.81296 0.00569763   -1.63934    1.39725,  0.494035  -0.374178   0.207139 -0.0997262   0.128346   -0.15719   0.111086  -0.192222   0.212107  -0.253411  -0.719486   -4.87447    9.87837,   1.24506 -0.0575763  0.0652305 0.00365682 0.00384841 -0.0101704  -0.377933  -0.565413   0.346522    1.81296 0.00569763   -1.63934    1.39725,  0.494035  -0.374178   0.207139 -0.0997262   0.128346   -0.15719   0.111086  -0.192222   0.212107  -0.253411  -0.719486   -4.87447    9.87837,   1.24506 -0.0575763  0.0652305 0.00365682 0.00384841 -0.0101704  -0.377933  -0.565413   0.346522    1.81296 0.00569763   -1.63934    1.39725,  0.494035  -0.374178   0.207139 -0.0997262   0.128346   -0.15719   0.111086  -0.192222   0.212107  -0.253411  -0.719486   -4.87447    9.87837, -0.472902   0.917953  -0.433022   0.429799  -0.031288  0.0677522 0.00270474          0          0          0          0, -0.472902   0.917953  -0.433022   0.429799  -0.031288  0.0677522 0.00270474          0          0          0          0,0 0 0 0 0 0 0 0 0 0 0 0 0,   1.26279 -0.0587223   0.175945   0.225211   0.278044   0.106722  -0.377976  -0.565404   0.347265    1.81271 0.00705372   -1.66093    1.43064,   1.0647 -0.382198   1.31155   1.40521   1.99039    0.3469  0.110845 -0.192239  0.216844 -0.255417 -0.709945  -5.02369   10.1408, -0.472902   0.917953  -0.433022   0.429799  -0.031288  0.0677522 0.00270474          0          0          0          0,3.68125
7,    1.26891  -0.0762852   0.0638049   0.0106118 0.000145827  -0.0165454   -0.372236   -0.574367    0.355521     1.80107  -0.0292205     -1.8746     1.90615,  0.423575  -0.374178  -0.142442    3.44426 -0.0311269   0.290018   0.116279  -0.168535   0.153582   -0.22302  -0.677516   -4.56081    10.4516,    1.26891  -0.0762852   0.0638049   0.0106118 0.000145827  -0.0165454   -0.372236   -0.574367    0.355521     1.80107  -0.0292205     -1.8746     1.90615,  0.423575  -0.374178  -0.142442    3.44426 -0.0311269   0.290018   0.116279  -0.168535   0.153582   -0.22302  -0.677516   -4.56081    10.4516,    1.26891  -0.0762852   0.0638049   0.0106118 0.000145827  -0.0165454   -0.372236   -0.574367    0.355521     1.80107  -0.0292205     -1.8746     1.90615,  0.423575  -0.374178  -0.142442    3.44426 -0.0311269   0.290018   0.116279  -0.168535   0.153582   -0.22302  -0.677516   -4.56081    10.4516, -0.454859   0.903012  -0.397395   0.468599   -0.04853  0.0330795 0.00253728          0          0          0          0, -0.454859   0.903012  -0.397395   0.468599   -0.04853  0.0330795 0.00253728          0          0          0          0,0 0 0 0 0 0 0 0 0 0 0 0 0,   1.31603 -0.0778322    0.26069   0.308762   0.370612   0.149843  -0.372292  -0.574362   0.356495    1.80074 -0.0274022   -1.90353    1.95303,   1.0647 -0.382198   2.00855   1.38805   2.00915  0.262068  0.116035 -0.168653   0.15809 -0.224409 -0.668447  -4.70542    10.728, -0.454859   0.903012  -0.397395   0.468599   -0.04853  0.0330795 0.00253728          0          0          0          0,4.25779
8,    1.28463   -0.089827   0.0644514  0.00316047 5.10641e-05  -0.0107227   -0.366347    -0.58211    0.361846     1.79125  -0.0612706    -2.09922     2.44601,   0.267322   -0.256158  -0.0843949     1.46593 -0.00109099    0.297846     0.11901   -0.143877    0.104257   -0.173064   -0.607352    -4.42703     11.0897,    1.28463   -0.089827   0.0644514  0.00316047 5.10641e-05  -0.0107227   -0.366347    -0.58211    0.361846     1.79125  -0.0612706    -2.09922     2.44601,   0.267322   -0.256158  -0.0843949     1.46593 -0.00109099    0.297846     0.11901   -0.143877    0.104257   -0.173064   -0.607352    -4.42703     11.0897,    1.28463   -0.089827   0.0644514  0.00316047 5.10641e-05  -0.0107227   -0.366347    -0.58211    0.361846     1.79125  -0.0612706    -2.09922     2.44601,   0.267322   -0.256158  -0.0843949     1.46593 -0.00109099    0.297846     0.11901   -0.143877    0.104257   -0.173064   -0.607352    -4.42703     11.0897, -0.435334    0.88366  -0.395551   0.439762 -0.0435405  0.0292904  0.0014838          0          0          0          0, -0.435334    0.88366  -0.395551   0.439762 -0.0435405  0.0292904  0.0014838          0          0          0          0,0 0 0 0 0 0 0 0 0 0 0 0 0,   1.36926 -0.0969421   0.385399   0.397728   0.461527   0.199031  -0.366416  -0.582116   0.363042    1.79086   -0.05899   -2.13516    2.50688,   1.0647 -0.382198   2.89153   1.37551   2.02261  0.177465  0.118733 -0.144179   0.10864 -0.173628 -0.597917  -4.56304   11.3716, -0.435334    0.88366  -0.395551   0.439762 -0.0435405  0.0292904  0.0014838          0          0          0          0,4.81754
9,     1.2935  -0.0981591   0.0646788  0.00203016 0.000636793 -0.00691854   -0.360257   -0.588606    0.365587     1.78402  -0.0892773    -2.31634     3.01471,   0.110583   -0.109548   0.0318043  -0.0212239   0.0590897 -0.00569493    0.124141   -0.118597   0.0504905   -0.119722   -0.518103    -4.26452     11.6059,     1.2935  -0.0981591   0.0646788  0.00203016 0.000636793 -0.00691854   -0.360257   -0.588606    0.365587     1.78402  -0.0892773    -2.31634     3.01471,   0.110583   -0.109548   0.0318043  -0.0212239   0.0590897 -0.00569493    0.124141   -0.118597   0.0504905   -0.119722   -0.518103    -4.26452     11.6059,     1.2935  -0.0981591   0.0646788  0.00203016 0.000636793 -0.00691854   -0.360257   -0.588606    0.365587     1.78402  -0.0892773    -2.31634     3.01471,   0.110583   -0.109548   0.0318043  -0.0212239   0.0590897 -0.00569493    0.124141   -0.118597   0.0504905   -0.119722   -0.518103    -4.26452     11.6059,  -0.415721    0.861971   -0.349284    0.413681   -0.039613   0.0250487 -0.00028518           0           0           0           0,  -0.415721    0.861971   -0.349284    0.413681   -0.039613   0.0250487 -0.00028518           0           0           0           0,0 0 0 0 0 0 0 0 0 0 0 0 0,    1.4225  -0.116052   0.559223   0.493806   0.550204   0.255746  -0.360339  -0.588631   0.366997    1.78364 -0.0865067   -2.35881    3.08967,   1.0647 -0.382198   3.95507   1.36765   2.03093  0.093037  0.123845 -0.119037 0.0546772 -0.119091  -0.50796  -4.39048   11.8864,  -0.415721    0.861971   -0.349284    0.413681   -0.039613   0.0250487 -0.00028518           0           0           0           0,5.35827
